  0.088,  0.102,  0.145
  0.088,  0.062,  0.107
  0.088,  0.022,  0.068
  0.088,  0.123,  0.123
  0.088,  0.085,  0.085
  0.088,  0.045,  0.045
  0.088,  0.145,  0.102
  0.088,  0.107,  0.062
  0.088,  0.068,  0.022
  0.138,  0.150,  0.194
  0.138,  0.111,  0.156
  0.138,  0.070,  0.117
  0.138,  0.172,  0.172
  0.138,  0.134,  0.134
  0.138,  0.094,  0.094
  0.138,  0.194,  0.150
  0.138,  0.156,  0.111
  0.138,  0.117,  0.070
  0.188,  0.200,  0.243
  0.188,  0.160,  0.205
  0.188,  0.119,  0.166
  0.188,  0.222,  0.222
  0.188,  0.183,  0.183
  0.188,  0.143,  0.143
  0.188,  0.243,  0.200
  0.188,  0.205,  0.160
  0.188,  0.166,  0.119
