0.088458,0.10155,0.14497
0.087986,0.061525,0.1068
0.088458,0.021745,0.067876
0.087986,0.12302,0.12302
0.088358,0.084767,0.084767
0.087986,0.044597,0.044597
0.088458,0.14497,0.10155
0.087986,0.1068,0.061525
0.088458,0.067876,0.021745
0.13798,0.15016,0.19365
0.13882,0.11112,0.15659
0.13798,0.069993,0.11605
0.13882,0.1729,0.1729
0.13839,0.13366,0.13366
0.13882,0.09414,0.09414
0.13798,0.19365,0.15016
0.13882,0.15659,0.11112
0.13798,0.11605,0.069993
0.18863,0.19985,0.24361
0.18867,0.15988,0.20556
0.18863,0.11945,0.16566
0.18867,0.22196,0.22196
0.18842,0.18269,0.18269
0.18867,0.14284,0.14284
0.18863,0.24361,0.19985
0.18867,0.20556,0.15988
0.18863,0.16566,0.11945
